,BAD,Loan Total,Mortgage Due,Value,Reason of Default,Occupation,Years at Job,Major derogatory,Delinquent credit lines,Age Of Oldest Credit Line in Months,Number Of Recent Credit Inquiries,Number of Credit Lines,Debt-to-Income Ratio,Home Value
3538,0,18600,57300.0,<20000,DebtCon,Other,6.0,,,68.0,1.0,17.0,,<20000
40,1,3000,,<20000,HomeImp,Other,2.0,0.0,1.0,77.766666667,0.0,3.0,,<20000
156,1,5000,,<20000,HomeImp,Other,1.0,0.0,0.0,54.733333333000004,2.0,8.0,,<20000
213,1,5200,,<20000,DebtCon,Other,1.0,0.0,1.0,81.1,1.0,2.0,,<20000
940,1,9100,,<20000,HomeImp,Other,,0.0,0.0,51.933333333,1.0,3.0,,<20000
616,1,7800,,<20000,HomeImp,Other,0.0,0.0,0.0,44.629591573999996,2.0,7.0,21.271785371,<20000
3683,0,19400,63508.0,<20000,DebtCon,Other,5.0,,,64.407604619,1.0,16.0,40.570169156999995,<20000
4225,1,22000,82000.0,<20000,DebtCon,ProfExe,3.0,0.0,0.0,117.76666667,6.0,23.0,,<20000
3757,0,20000,59936.0,<20000,DebtCon,Other,5.0,,,63.39540036100001,0.0,17.0,40.446579317,<20000
254,1,5500,,<20000,HomeImp,Other,1.0,0.0,1.0,82.294266354,0.0,2.0,36.986744097,<20000
248,1,5500,,<20000,HomeImp,Mgr,5.0,0.0,1.0,167.36666667,1.0,8.0,,<20000
3707,0,19500,58638.0,<20000,DebtCon,Other,4.0,,,69.005027135,0.0,16.0,42.50002486,<20000
3655,0,19200,65206.0,<20000,DebtCon,Other,7.0,,,57.59183135,0.0,16.0,42.50243535,<20000
45,1,3000,,<20000,HomeImp,Other,1.0,0.0,0.0,104.2,0.0,19.0,,<20000
44,1,3000,,<20000,HomeImp,Other,3.0,0.0,0.0,9.3,14.0,2.0,,<20000
4155,0,21700,60792.0,<20000,DebtCon,Other,5.0,,,62.856356954,1.0,17.0,40.315819301,<20000
3739,0,19800,63701.0,<20000,DebtCon,Other,4.0,,,62.359738199,1.0,17.0,41.874197914,<20000
90,1,4000,7000.0,<20000,HomeImp,Other,18.0,0.0,1.0,85.8,2.0,23.0,,<20000
1429,1,10900,,<20000,HomeImp,Other,,0.0,0.0,59.548702675,1.0,2.0,24.195903631,<20000
2,1,1500,13500.0,<20000,HomeImp,Other,4.0,0.0,0.0,149.46666667,1.0,10.0,,<20000
24,1,2400,,<20000,HomeImp,Other,,0.0,0.0,14.566666667,3.0,4.0,,<20000
88,1,4000,5700.0,<20000,DebtCon,Other,,0.0,0.0,12.2,0.0,17.0,,<20000
869,1,8800,2800.0,<20000,HomeImp,Other,2.0,3.0,1.0,107.76666667,4.0,3.0,,<20000
1320,1,10500,,<20000,HomeImp,Other,24.0,,,,,,,<20000
2546,1,15000,18500.0,<20000,DebtCon,Other,2.0,0.0,1.0,20.166666667,0.0,2.0,,<20000
99,1,4100,,<20000,HomeImp,Other,0.0,0.0,0.0,100.77465221,0.0,19.0,33.840919904,<20000
27,1,2500,15000.0,"20000-39,999",HomeImp,,18.0,0.0,0.0,136.06666667,1.0,19.0,,"20000-39,999"
39,1,3000,7000.0,"20000-39,999",HomeImp,Other,3.0,0.0,0.0,50.8,5.0,9.0,,"20000-39,999"
62,1,3500,19400.0,"20000-39,999",HomeImp,Other,5.0,0.0,0.0,95.933333333,0.0,9.0,,"20000-39,999"
437,1,6700,,"20000-39,999",HomeImp,Mgr,4.0,0.0,0.0,174.72183413,1.0,8.0,62.246451123,"20000-39,999"
3542,0,18600,,"20000-39,999",DebtCon,ProfExe,6.0,0.0,0.0,104.53333333,1.0,19.0,,"20000-39,999"
70,1,3700,17857.0,"20000-39,999",HomeImp,Other,5.0,0.0,0.0,129.71732313,1.0,9.0,26.634347518000002,"20000-39,999"
3400,1,18000,12900.0,"20000-39,999",HomeImp,Office,5.0,3.0,0.0,109.56666667,0.0,33.0,,"20000-39,999"
3445,0,18200,4447.0,"20000-39,999",DebtCon,Other,,0.0,0.0,67.0,2.0,19.0,,"20000-39,999"
76,1,3900,14500.0,"20000-39,999",HomeImp,Other,3.5,0.0,1.0,150.3,5.0,8.0,,"20000-39,999"
4284,0,22300,,"20000-39,999",DebtCon,ProfExe,5.0,0.0,0.0,96.642686986,1.0,18.0,22.196624712,"20000-39,999"
3836,0,20100,,"20000-39,999",DebtCon,ProfExe,5.0,0.0,0.0,102.72665449,1.0,18.0,18.507802639,"20000-39,999"
136,1,4900,25597.0,"20000-39,999",HomeImp,Other,5.0,0.0,0.0,101.74676644,0.0,8.0,33.243156978,"20000-39,999"
3635,1,19000,15100.0,"20000-39,999",HomeImp,Other,3.2,1.0,1.0,64.9,3.0,21.0,,"20000-39,999"
1163,0,10000,,"20000-39,999",HomeImp,,28.0,0.0,0.0,206.96666667,1.0,5.0,,"20000-39,999"
3753,0,19900,4641.0,"20000-39,999",DebtCon,Other,,0.0,0.0,63.535254746999996,1.0,19.0,40.442378233,"20000-39,999"
3728,0,19700,5700.0,"20000-39,999",DebtCon,Other,,0.0,0.0,60.156329912,1.0,19.0,41.363878281,"20000-39,999"
4100,0,21400,7259.0,"20000-39,999",DebtCon,Other,,0.0,0.0,62.26356587,2.0,18.0,41.576700518,"20000-39,999"
4204,0,21900,10421.0,"20000-39,999",DebtCon,Other,,0.0,0.0,61.28669845100001,2.0,19.0,40.016621624,"20000-39,999"
4334,0,22500,,"20000-39,999",DebtCon,ProfExe,7.0,0.0,0.0,97.536619949,1.0,19.0,19.472272471,"20000-39,999"
2045,1,13000,7200.0,"20000-39,999",HomeImp,Other,0.7,9.0,1.0,193.8,0.0,9.0,,"20000-39,999"
3933,0,20600,,"20000-39,999",DebtCon,ProfExe,3.0,0.0,0.0,90.914931758,0.0,18.0,22.033579932,"20000-39,999"
498,1,7000,18000.0,"20000-39,999",DebtCon,Other,6.5,1.0,0.0,205.96666667,1.0,19.0,,"20000-39,999"
821,1,8600,,"20000-39,999",HomeImp,Other,0.0,6.0,0.0,64.866666667,2.0,27.0,,"20000-39,999"
1142,1,10000,,"20000-39,999",HomeImp,Self,5.0,0.0,3.0,326.13333333,4.0,17.0,,"20000-39,999"
160,1,5000,16600.0,"20000-39,999",HomeImp,Other,6.0,0.0,0.0,88.7,1.0,3.0,,"20000-39,999"
