,Unnamed: 0,San Diego Zip Codes,Zipcode,Type,Home Value
3,3,92037,zipcode,All Homes,1587800
4,4,92101,zipcode,All Homes,582800
5,5,92102,zipcode,All Homes,464400
6,6,92103,zipcode,All Homes,759200
7,7,92104,zipcode,All Homes,621000
8,8,92105,zipcode,All Homes,437600
9,9,92106,zipcode,All Homes,1090500
10,10,92107,zipcode,All Homes,963300
11,11,92108,zipcode,All Homes,403400
12,12,92109,zipcode,All Homes,974800
13,13,92110,zipcode,All Homes,663500
14,14,92111,zipcode,All Homes,606900
15,15,92113,zipcode,All Homes,408900
16,16,92114,zipcode,All Homes,458600
17,17,92115,zipcode,All Homes,539600
18,18,92116,zipcode,All Homes,634100
19,19,92117,zipcode,All Homes,677100
20,20,92119,zipcode,All Homes,609200
21,21,92120,zipcode,All Homes,651200
22,22,92121,zipcode,All Homes,715100
23,23,92122,zipcode,All Homes,739900
24,24,92123,zipcode,All Homes,614700
25,25,92124,zipcode,All Homes,673200
26,26,92126,zipcode,All Homes,609800
27,27,92127,zipcode,All Homes,860500
28,28,92128,zipcode,All Homes,657300
29,29,92129,zipcode,All Homes,791300
30,30,92130,zipcode,All Homes,1116500
31,31,92131,zipcode,All Homes,850700
32,32,92139,zipcode,All Homes,456000
33,33,92154,zipcode,All Homes,479300
34,34,92173,zipcode,All Homes,451500
