,"Long Beach, CA - All Homes",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60
0,Statistic,,,Zillow Home Value Index,,,,,,Decreasing values (%),,,,Listings with price cut (%),,,,Median value per sq. ft. ($),,,,Median price cut (%),,,,Median list price ($),,,,Median sale price ($),,,,Increasing values (%),,,,Median list price / sq. ft. ($),,,,Median rent list price ($),,,,Median rent list price / sq. ft. ($),,,,Homes foreclosed,,,,Zillow Rent Index,,,,Rent estimate / sq. ft. ($),,,
1,Region Name,Region Type,Type,Current,Month Over Month,Quarter Over Quarter,Year Over Year,5 Year Annualized,10 Year Annualized,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year
2,Long Beach,city,All Homes,595400,0.0008404773911581779,-0.00016792611251049538,0.021619766643788608,0.0557,0.0436,---,---,---,---,0.1424,0.0056833280118649835,0.0030095882100869887,0.006218421018643987,451,-0.0022123893805309734,-0.006607929515418502,0.011210762331838564,0.0251,0.0036322844686680032,0.0016105617027792007,0.0021923336368665012,616000,0.028380634390651086,0.03529411764705882,0.05060827831568391,549400,-0.01699767400250492,0.0062271062271062275,0.08705975464978236,---,---,---,---,470,0.005312707818439081,0.012760022644447287,0.03259604844415903,2300,-0.002173913043478261,0,-0.023404255319148935,2.3251,-0.002211578508952661,-0.007048080901383879,0.016272459574593175,0.63,0.005,0.0025,0.0025,2637,-0.0037778617302606727,-0.0037778617302606727,0.03574234092694423,2.134,0.0009380863039398592,0.004708097928436811,0.04301075268817209
3,90802,zipcode,All Homes,378200,0.0015889830508474577,0.002916998143728454,0.026044492674986434,0.0854,0.0405,---,---,---,---,0.1441,-0.024156502455252013,-0.00239684985447699,0.041389225181598,467,-0.002136752136752137,-0.010593220338983049,0.002145922746781116,0.0212,0.0060698027314112,-0.008399740008039797,-0.0029401786455250977,449900,0.1,0.07119047619047619,0.1247528118820297,---,---,---,---,---,---,---,---,514,0.03183226916360169,0.03248472132427365,0.08510631143213568,1960,-0.08720930232558138,-0.01875,-0.08720930232558138,2.5424,-0.00192975685063803,0.0017398518245372125,0.008888285347937269,---,---,---,---,2093,-0.007115749525616698,-0.010869565217391304,0.02497551420176298,2.5220000000000002,-0.002373417721519077,-0.0007923930269414517,0.03700657894736836
4,90803,zipcode,All Homes,985300,-0.0032372281234193225,-0.005952380952380952,0.04033365008974766,0.0504,0.0391,---,---,---,---,0.1636,-0.04368070953436803,0.03484848484848499,0.02339246119733998,586,-0.003401360544217687,-0.011804384485666104,0.01384083044982699,0.0317,0.0025645691060897004,0.0123841571274335,-0.0029996548815292012,1245000,0.0375,0.10274579273693533,0.24624624624624622,923700,0.012495889510029596,0.13658176448874124,0.11868717451859029,---,---,---,---,619,0.026035706554120807,0.058671363657400395,0.014156670769609246,2950,0.037576821773485515,-0.013522537562604343,0.0852157943067034,2.5391,-0.0308267060102267,-0.03567950425498841,0.04363273427009662,1.24,---,---,---,3195,-0.0006255864873318737,0.00031308703819661864,0.024038461538461543,2.206,0.005469462169553332,0.013786764705882262,0.034709193245778536
5,90804,zipcode,All Homes,491300,-0.003448275862068966,-0.009475806451612903,0.018871837411862297,0.0555,0.0485,---,---,---,---,0.05,-0.04722222222222219,-0.090625,-0.080434782608696,460,0,-0.0064794816414686825,0.03139013452914798,0.027200000000000002,-0.0023539506466554983,0.0022492000367169006,-0.005014005732202498,417500,-0.10589998929221543,-0.17310358486829075,---,438700,0.013632162661737524,-0.019226469930695284,0.2189497082522923,---,---,---,---,442,-0.020015271623533094,-0.026192591922087286,-0.009419912130463325,2000,-0.02682926829268293,0.03636363636363636,-0.0025,2.3890000000000002,0.043697060789198654,0.08899941872754119,0.098461876197409,0,---,---,-0.0282,2302,-0.0013015184381778742,-0.003894418000865427,0.020842572062084258,2.306,0,0.0017376194613379684,0.03130590339892658
6,90805,zipcode,All Homes,466700,-0.00021422450728363326,0.00042872454448017146,0.029106945975744213,0.07350000000000001,0.056400000000000006,---,---,---,---,0.1111,0.0435435435435434,-0.044444444444444994,0.027141645462256,405,-0.0024630541871921183,-0.007352941176470587,0.015037593984962405,0.020800000000000003,-0.00048636748048000114,0.0040172409653859,0.002766053292073001,479000,0.008421052631578947,0.008421052631578947,0.04836944626833005,469400,-0.006771053745239103,0.029160271870203903,0.05673120216118866,---,---,---,---,399,-0.02565830442505526,-0.015363794349692322,-0.017366823654583287,---,---,---,---,---,---,---,---,---,---,---,---,2435,0.0004108463434675431,0.0016454134101192923,0.05047454702329594,2.156,0.0009285051067781914,0.0027906976744187105,0.047619047619047776
7,90806,zipcode,All Homes,535500,0.0014961660744342623,0.002433545488581056,0.027633851468048358,0.066,0.0497,---,---,---,---,0.1458,0.062499999999999695,0.1201923076923074,0.027189265536723007,416,0.004830917874396135,0.012165450121654502,0.03740648379052369,---,---,---,---,570000,0.02917438547455773,0.07547169811320754,0.08067115366385441,545900,0.031167359274650547,-0.00018315018315018315,0.11022981492780151,---,---,---,---,433,0.03219802360164937,0.09563947218316868,0.09872397582270022,---,---,---,---,---,---,---,---,---,---,---,---,2564,-0.003110419906687403,-0.001557632398753894,0.03512313282196205,2.048,-0.0009756097560974536,0.0009775171065494741,0.03748733535967582
8,90807,zipcode,All Homes,639100,-0.0006254886630179827,-0.004206918043004051,-0.0023415547923821417,0.0514,0.0461,---,---,---,---,0.1792,0.06688573245707,0.0862220272049145,0.02082944143470998,420,0.002386634844868735,-0.0023752969121140144,0.03194103194103194,0.0286,0.000795891607521999,0.0132265043828066,0.005412059090170698,649000,-0.016592166073187364,0.014141729822642396,-0.0015384615384615385,609600,-0.03939489442168295,-0.07059002896783047,-0.06689116791673044,---,---,---,---,428,-0.018616876063323903,-0.019338717059183424,0.0008856790001895284,2100,-0.005917159763313609,0.013268998793727383,0.13667117726657646,1.9255,0.06783186582254055,0.09693158284023701,0.09313496861181428,---,---,---,---,2801,-0.004265908282971916,-0.00744153082919915,0.03243641725027645,1.9260000000000002,-0.002072538860103629,-0.0010373443983402498,0.02994652406417103
9,90808,zipcode,All Homes,685500,-0.0014566642388929353,-0.006809620399884092,-0.007384882710686359,0.048100000000000004,0.039900000000000005,---,---,---,---,0.16340000000000002,0.014750044161808997,0.07609710550887071,-0.024571232001571984,464,0,-0.004291845493562232,0.0021598272138228943,0.014700000000000001,-0.0009099502098480983,-0.005958172093769798,-0.0017641960999510986,710000,0.014358893034426055,0.014430632947563938,0.014430632947563938,680000,-0.0007347538574577515,0.011603689378161261,0.011302795954788815,---,---,---,---,470,0,-0.002552493088238264,0.0758065951538587,---,---,---,---,---,---,---,---,---,---,---,---,2880,0.0010427528675703858,0.005235602094240838,0.039711191335740074,1.9640000000000002,0.001019367991845057,0.006147540983606563,0.04025423728813563
