,"San Diego, CA - All Homes",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60
0,Statistic,,,Zillow Home Value Index,,,,,,Decreasing values (%),,,,Listings with price cut (%),,,,Median value per sq. ft. ($),,,,Median price cut (%),,,,Median list price ($),,,,Median sale price ($),,,,Increasing values (%),,,,Median list price / sq. ft. ($),,,,Median rent list price ($),,,,Median rent list price / sq. ft. ($),,,,Homes foreclosed,,,,Zillow Rent Index,,,,Rent estimate / sq. ft. ($),,,
1,Region Name,Region Type,Type,Current,Month Over Month,Quarter Over Quarter,Year Over Year,5 Year Annualized,10 Year Annualized,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year
2,San Diego,city,All Homes,634800,0.0007882705344474224,0.0017358371469149438,0.01910419007866431,0.060000000000000005,0.0485,---,---,---,---,0.19720000000000001,0.02695380787927,0.02571546668827601,0.012222800758117991,435,0,0.002304147465437788,0.02112676056338028,0.0228,0.00020046552900430115,0.0003696584102769007,-0.0012543945463590988,711000,0.00851063829787234,0.03193033381712627,0.0028208744710860366,---,---,---,---,---,---,---,---,471,-0.0055099269146161355,0.006190143313945015,-0.004969787820064682,2800,0.01818181818181818,0.037037037037037035,0.03896103896103896,2.3666,-0.006042296072505036,0.00017674668990932472,0.030024816194966712,---,---,---,---,2737,0.0025641025641025637,0.005880191106210952,0.03752843062926459,1.994,0.003018108651911472,0.007070707070707077,0.039624608967674696
3,92037,zipcode,All Homes,1587800,0.0008194138039710054,0.005764236397035536,-0.013972551698441284,0.0645,0.041600000000000005,---,---,---,---,0.17880000000000001,0.01989587370943301,0.053190314059879,0.009151321651321993,738,0.0013568521031207597,0,-0.006729475100942126,0.0297,0.0035567760570650985,-0.010192618554992402,0.0012847606038025993,1998000,0.0015037593984962407,-0.0005002501250625312,0.05714285714285714,1446200,0.05331391114348143,0.03101162044628217,0.1438740805188642,---,---,---,---,823,-0.0012278388278381574,9.275577404738106e-05,-0.0066926927491934305,5000,0,0.020408163265306124,0.06951871657754011,3.1028000000000002,-0.03143753409710875,-0.021210330717707077,0.04763056092843309,---,---,---,---,5896,0.010973936899862823,0.01742881794650561,0.018131583491624935,2.956,0.0006770480704129247,0.004758667573079466,0.020718232044198915
4,92101,zipcode,All Homes,582800,-0.004271313856142149,-0.015207840486650893,-0.02083333333333333,0.045700000000000005,0.0309,---,---,---,---,0.2293,0.045925624872994036,0.031984062150943016,-0.03506901582313997,571,-0.0034904013961605585,-0.010398613518197574,-0.020583190394511154,0.0244,0.0020284866918991984,0.002104038991641497,0.001157212773305498,625000,-0.0015176931064781532,-0.02678293366552476,-0.03697996918335902,502900,-0.09436340716729695,-0.13023175371843654,-0.10531933819605052,---,---,---,---,617,0.007123315374117938,0.007369893779954644,-0.028317606303080237,2800,0,0.012681159420289856,-0.0008936550491510277,3.0380000000000003,0.014029019418337537,0.033567340404243064,0.021541115154317857,---,---,---,---,2734,0.0014652014652014652,0.007369196757553427,0.0340393343419062,2.754,0.002183406113537039,0.006578947368420977,0.024553571428571366
5,92102,zipcode,All Homes,464400,0.0032404406999351917,0.0032404406999351917,0.059548254620123205,0.0918,0.0685,---,---,---,---,0.16670000000000001,0.06807511737089239,0.015723270440251992,-0.055555555555555004,455,-0.006550218340611353,-0.013015184381778741,0.013363028953229399,0.0158,-0.018193820095898,-0.0105415455539519,-0.0067896698679814,449500,-0.0012222222222222222,-0.011002310485201892,-0.08181818181818182,438700,-0.13111507229154287,-0.02684117125110914,0.09020874751491054,---,---,---,---,490,0.025115407451149464,0.02853553992302915,0.038850189872492225,2400,0.054945054945054944,0.14942528735632185,0.043478260869565216,2.4253,-0.01039405099782741,0.01691905391478268,0.0002690486124619888,0,---,---,---,2347,-0.008030431107354184,-0.009704641350210971,0.040336879432624116,2.238,-0.009734513274336195,-0.014964788732394284,0.02098540145985393
6,92103,zipcode,All Homes,759200,0.0010548523206751054,0.006229290921139827,0.031381605760086945,0.0521,0.0475,---,---,---,---,0.2371,0.032902298850574,0.024399282259321992,0.016074490379118983,544,0.0036900369003690036,0.011152416356877325,0.01303538175046555,0.0335,-0.0038121791938503023,0.0082917592675392,0.0042462758279009005,---,---,---,---,641400,-0.0761918479043641,-0.12983312983312983,-0.05258493353028065,---,---,---,---,563,-0.007513533878445423,0.00507368707197286,-0.06012693775312159,2500,-0.021568627450980392,-0.021568627450980392,-0.049523809523809526,2.5351,0.014885293733775345,0.004514084529979013,0.04250411226884057,0,---,---,---,2889,-0.00138264777048047,0.0017337031900138697,0.029946524064171122,2.314,0.004340277777777879,0.007839721254355505,0.030276046304541435
7,92104,zipcode,All Homes,621000,0.0022595222724338285,0.004691797443779323,0.010248901903367495,0.062400000000000004,0.0597,---,---,---,---,0.2416,-0.012120605028548006,0.020456892101188017,0.061923238255034006,568,0.0035335689045936395,0.008880994671403197,0.028985507246376812,0.0258,0.0013986723505879971,0.006891826377012899,-0.0086908675848961,675000,0.040061633281972264,0.12603219617983152,0.12687813021702837,---,---,---,---,---,---,---,---,596,0.06453702624872443,0.08642749332404459,0.03972027972027888,2300,0.0954653937947494,0.02914798206278027,0.06744186046511629,2.5272,-0.0033862876254192775,0.014250399883669556,-0.03641608170065542,---,---,---,---,2508,-0.007518796992481203,-0.00986971969996052,0.02034174125305126,2.46,-0.006462035541195482,-0.008863819500402997,0.02329450915141433
8,92105,zipcode,All Homes,437600,0.0032095369096744614,0.0009149130832570906,0.05445783132530121,0.0794,0.06810000000000001,---,---,---,---,0.1875,0.054166666666667,-0.023026315789473985,0.054969879518071994,388,0,0,0.05722070844686648,---,---,---,---,449000,0.04894288050461395,0.06930221481305072,0.12264173351885675,400200,-0.029818181818181813,-0.02911208151382824,0.0279989725147701,---,---,---,---,357,-0.06468914285714229,-0.10712493573264709,-0.026156047556450745,1900,-0.007853403141361256,0.05277777777777778,0.058659217877094966,2.134,-0.029995904995904713,0.005850339992196496,0.0451697692198103,---,---,---,---,2249,-0.00881445570736007,-0.00837742504409171,0.036883356385431075,2.1020000000000003,-0.006616257088846992,-0.007554296506137873,0.03039215686274501
9,92106,zipcode,All Homes,1090500,-0.002834674469641551,-0.013211474074744368,-0.01880511067122548,0.0533,0.036000000000000004,---,---,---,---,0.1681,-0.009824508774561026,0.007764234429787997,-0.0039895546206300024,604,0,-0.001652892561983471,-0.016286644951140065,0.023700000000000002,-0.0063800404300691,-0.009525310397597497,-0.006084568570761797,1229000,0.034511784511784514,0.04240882103477524,-0.07210268025670064,968600,-0.09281633417626674,-0.04279078960371578,-0.11064181434211734,---,---,---,---,628,-0.014990825475473125,-0.007835018065195924,0.001889977640384657,---,---,---,---,2.5243,-0.03664607237423058,0.03368932038834863,0.050097087378640624,---,---,---,---,4244,-0.003989673785496362,-0.0018814675446848542,0.00903471231573942,2.384,-0.0016750418760469027,-0.0016750418760469027,0.006756756756756763
