,ID,Year,Zip Code,City,Returns,CA AGI,Avg Income
6552,5927,2015,91395,Mission Hills,129,"6,631,674",51408.33
6557,4955,2015,92274,Thermal,"6,155","164,285,412",26691.37
6507,6223,2015,90633,La Habra,278,"18,636,432",67037.53
6511,5858,2015,92562,Murrieta,"26,280","1,825,417,515",69460.33
6554,5465,2015,95829,Sacramento,"12,507","796,499,089",63684.26
6508,5485,2015,95678,Roseville,"19,962","1,232,409,450",61737.77
6509,6150,2015,96052,Lewiston,449,"17,558,389",39105.54
6555,5187,2015,93657,Sanger,"14,028","665,054,256",47409.06
6510,5596,2015,94567,Pope Valley,303,"130,041,046",429178.37
6553,6388,2015,92341,Green Valley Lake,133,"4,670,101",35113.54
6556,5016,2015,95201,Stockton,518,"25,197,404",48643.64
6529,5155,2015,95054,Santa Clara,"11,810","1,652,214,257",139899.6
6558,5811,2015,91615,North Hollywood,211,"12,333,009",58450.28
6506,6487,2015,93727,Fresno,"27,635","1,234,529,812",44672.69
6496,5907,2015,96064,Montague,"1,609","59,361,306",36893.29
6497,6287,2015,90306,Inglewood,82,"3,411,477",41603.38
6563,5407,2015,94066,San Bruno,"23,519","1,844,415,271",78422.35
6498,6472,2015,93793,Fresno,33,"2,150,924",65179.52
6499,6186,2015,92530,LakeElsinore,"20,328","902,272,134",44385.68
6562,5330,2015,94140,San Francisco,365,"19,715,970",54016.36
6561,5143,2015,90670,Santa Fe Springs,"8,061","480,291,283",59582.1
6500,5265,2015,95159,San Jose,660,"38,181,401",57850.61
6501,5741,2015,92869,Orange,"18,023","1,615,256,303",89621.94
6502,6350,2015,94542,Hayward,"6,343","675,139,916",106438.58
6503,5668,2015,91126,Pasadena,106,"1,453,476",13712.04
6504,6005,2015,93402,Los Osos,"6,703","412,146,578",61486.88
6505,6173,2015,93241,Lamont,"6,317","161,937,932",25635.26
6560,5132,2015,90405,Santa Monica,"15,702","2,160,799,426",137613.01
6559,5275,2015,95141,San Jose,14,"1,922,477",137319.79
6551,4972,2015,91357,Tarzana,515,"42,258,051",82054.47
6515,5414,2015,92407,San Bernardino,"23,521","1,051,127,895",44688.91
6550,4905,2015,95380,Turlock,"15,539","710,517,140",45724.77
6526,6378,2015,95321,Groveland,"1,576","92,562,770",58732.72
6523,5959,2015,96057,Mccloud,485,"18,428,633",37997.18
6524,4923,2015,94535,Travis Afb,890,"25,421,351",28563.32
6539,5068,2015,95369,Snelling,370,"20,800,416",56217.34
6538,5298,2015,94132,San Francisco,"13,649","1,128,275,650",82663.61
6525,6405,2015,95443,Glenhaven,81,"3,621,840",44714.07
6495,6086,2015,90059,Los Angeles,"15,259","433,992,479",28441.74
6537,5529,2015,94805,Richmond,"7,032","423,528,893",60228.8
6536,5011,2015,95219,Stockton,"12,220","738,672,022",60447.79
6522,5201,2015,90732,San Pedro,"10,318","842,945,303",81696.58
6527,5843,2015,94560,Newark,"21,505","1,537,749,931",71506.62
6535,4952,2015,91358,Thousand Oaks,210,"10,302,924",49061.54
6534,5083,2015,92384,Shoshone,19,"1,351,145",71112.89
6533,5287,2015,91778,San Gabriel,514,"24,260,197",47198.83
6532,5248,2015,95133,San Jose,"13,086","891,386,938",68117.6
6531,5549,2015,92375,Redlands,835,"411,459,532",492765.91
6528,5998,2015,90262,Lynwood,"27,257","864,698,327",31723.9
6540,5036,2015,95373,Standard,108,"6,783,578",62810.91
6521,4937,2015,90501,Torrance,"20,038","1,183,817,897",59078.65
6512,5710,2015,91331,Pacoima,"42,695","1,451,354,459",33993.55
6546,5678,2015,92267,Parker Dam,35,"1,745,062",49858.91
6513,6282,2015,94937,Inverness,518,"45,836,354",88487.17
6514,5860,2015,91759,Mt Baldy,220,"14,455,697",65707.71
6530,5055,2015,93665,South Dos Palos,223,"8,482,503",38038.13
6516,5216,2015,93407,San Luis Obispo,11,"238,640",21694.55
6549,6455,2015,93705,Fresno,"12,867","408,879,540",31777.38
6548,5892,2015,93020,Moorpark,303,"16,480,268",54390.32
6547,4920,2015,96091,Trinity Center,252,"11,613,965",46087.16
6517,6373,2015,91743,Guasti,137,"8,190,402",59783.96
6541,6141,2015,94550,Livermore,"23,361","2,697,873,818",115486.23
6545,5683,2015,91402,Panorama City,"28,231","924,659,856",32753.35
6544,5315,2015,94146,San Francisco,159,"12,433,949",78200.94
6518,6238,2015,95646,Kirkwood,50,"2,533,970",50679.4
6543,5628,2015,95665,Pine Grove,"2,056","114,918,250",55894.09
6519,5793,2015,96068,NuBieber,25,"596,107",23844.28
6542,6420,2015,91210,Glendale,169,"23,529,553",139228.12
6520,5645,2015,94955,Petaluma,342,"28,363,754",82934.95
6699,5783,2015,94601,Oakland,"21,507","843,069,776",39199.79
6475,5379,2015,92134,San Diego,77,"1,369,454",17785.12
6494,5001,2015,93666,Sultana,377,"11,777,835",31240.94
6435,6482,2015,93794,Fresno,96,"4,971,371",51785.11
6426,6382,2015,96038,Grenada,252,"10,344,905",41051.21
6427,5949,2015,92359,Mentone,"3,624","179,758,674",49602.28
6428,6403,2015,93226,Glennville,113,"22,958,520",203172.74
6429,5761,2015,93475,Oceano,425,"14,825,653",34883.89
6430,4908,2015,93276,Tupman,55,"1,972,406",35861.93
